repo_name,description,stars,forks,watchers,open_issues,language,created_at,updated_at,pushed_at,size,license,topics,has_wiki,has_discussions,scraped_at,commits_last_30_days
plotly/dash,Data Apps & Dashboards for Python. No JavaScript Required.,24263,2300,421,550,Python,2015-04-10T01:53:08Z,2026-06-17T10:48:14Z,2026-06-15T22:52:05Z,205129,MIT License,"ai, bioinformatics, charting, dash, dashboards, data-science, data-visualization, finance, flask, gui-framework, jupyter, plotly, plotly-dash, productivity, python, react, technical-computing, web-app",False,False,2026-06-17T15:58:35.515244,50
matomo-org/matomo,"Empowering People Ethically 🚀 — Matomo is hiring! Join us → https://matomo.org/jobs Matomo is the leading open-source alternative to Google Analytics, giving you complete control and built-in privacy. Easily collect, visualise, and analyse data from websites & apps. Star us on GitHub ⭐️  – Pull Requests welcome! ",21605,2858,396,2540,PHP,2011-03-30T21:18:17Z,2026-06-17T09:38:07Z,2026-06-17T10:44:33Z,352129,GNU General Public License v3.0,"analytics, growth, hacktoberfest, intranet, log, marketing, matomo, mobile, mysql, php, piwik, privacy, security, web-analytics, website",True,False,2026-06-17T15:58:38.074897,81
apache/echarts,"Apache ECharts is a powerful, interactive charting and data visualization library for browser",66608,19797,1953,1612,TypeScript,2013-04-03T03:18:59Z,2026-06-17T07:36:00Z,2026-06-02T08:36:48Z,270331,Apache License 2.0,"apache, canvas, charting-library, charts, data-visualization, data-viz, echarts, svg, visualization",True,False,2026-06-17T15:58:41.044360,8
go-gitea/gitea,"Git with a cup of tea! Painless self-hosted all-in-one software development service, including Git hosting, code review, team collaboration, package registry and CI/CD",56336,6799,486,2747,Go,2016-11-01T02:13:26Z,2026-06-17T09:57:47Z,2026-06-17T06:39:23Z,338579,MIT License,"bitbucket, cicd, devops, docker-registry-v2, git, git-gui, git-lfs, git-server, gitea, github, github-actions, gitlab, go, golang, hacktoberfest, maven-server, npm-registry, self-hosted, typescript, vue",False,False,2026-06-17T15:58:43.441961,100
GitHubDaily/GitHubDaily,"坚持分享 GitHub 上高质量、有趣实用的开源技术教程、开发者工具、编程网站、技术资讯。A list cool, interesting projects of GitHub.",46814,4644,1428,647,,2018-12-30T13:56:58Z,2026-06-17T09:26:54Z,2025-12-31T18:59:20Z,3027,,"ai, algorithms-and-data-structures, backend, developer-tools, development, frontend, github, java, javascript, kubernetes, linux, markdown, open-source, python, tutorials, web",True,False,2026-06-17T15:58:46.164490,0
agno-agi/agno,"Build, run, and manage agent platforms.",40742,5532,237,958,Python,2022-05-04T15:23:02Z,2026-06-17T10:27:33Z,2026-06-17T10:27:36Z,290126,Apache License 2.0,"agents, ai, ai-agents, developer-tools, python",True,True,2026-06-17T15:58:48.519819,100
argoproj/argo-workflows,Workflow Engine for Kubernetes,16770,3560,199,1454,Go,2017-08-21T18:50:44Z,2026-06-17T06:52:50Z,2026-06-17T07:01:37Z,178076,Apache License 2.0,"airflow, argo, argo-workflows, batch-processing, cloud-native, cncf, dag, data-engineering, gitops, hacktoberfest, k8s, knative, kubernetes, machine-learning, mlops, pipelines, workflow, workflow-engine",False,True,2026-06-17T15:58:51.489611,87
cocoindex-io/cocoindex,Incremental engine for long horizon agents 🌟 Star if you like it!,10369,808,50,55,Python,2025-03-03T23:03:09Z,2026-06-17T10:36:23Z,2026-06-17T03:30:28Z,113221,Apache License 2.0,"agentic-data-framework, ai, ai-agents, change-data-capture, codebase-intelligence, context-engineering, data-engineering, data-indexing, data-processing, etl, help-wanted, indexing, knowledge-graph, llm, long-horizon-agent, python, rag, real-time, rust, semantic-search",True,True,2026-06-17T15:58:54.356572,92
fivetran/great_expectations,Always know what to expect from your data.,11565,1763,100,52,Python,2017-09-11T00:18:46Z,2026-06-17T06:46:53Z,2026-06-17T07:32:01Z,250948,Apache License 2.0,"cleandata, data-engineering, data-profilers, data-profiling, data-quality, data-science, data-unit-tests, datacleaner, datacleaning, dataquality, dataunittest, eda, exploratory-analysis, exploratory-data-analysis, exploratorydataanalysis, mlops, pipeline, pipeline-debt, pipeline-testing, pipeline-tests",True,True,2026-06-17T15:58:57.074901,14
dagster-io/dagster,"An orchestration platform for the development, production, and observation of data assets.",15709,2161,155,2649,Python,2018-04-30T16:30:04Z,2026-06-17T09:45:32Z,2026-06-17T01:40:40Z,1459970,Apache License 2.0,"analytics, dagster, data-engineering, data-integration, data-orchestrator, data-pipelines, data-science, etl, metadata, mlops, orchestration, python, scheduler, workflow, workflow-automation",False,True,2026-06-17T15:58:59.783554,100
